да	（语气）是
дом	房子
два	二，两个
куда́	（副）去哪里
домо́й	回家
иду́(иду́т)	（我）走，（他们）走
доска́	黑板
до́ма	（副）在家里
е́ду(е́дут)	（我）乘车，（他们）乘车
в	（前）到……里去；在……里
сад	花园
в саду́	在花园里
зово́д	工厂
зово́т(как зово́т)	叫（叫什么名字）
зака́з	定货
звоно́к	铃声
ва́за	花瓶
зна́ю(зна́ют)	（我）知道，（他们）知道
вуз	高等学校
таз	脸盆
зуб	牙
год	年
газ	天然气
нога́	脚，腿
когда́	什么时候
мно́го	很多
бума́га	纸
пого́да	天气，气候
Ку́ба	古巴
ты	你
вы	您;你们
мы	我们
сыи	儿子
вы́ход	出口
отдыха́ю(отдыха́ют)	（我）休息，（他们）休息
му́зыка	音乐
музыка́нт	音乐家
вы́ставка	展览会
остано́вка	
вход	入口
танцу́ю(танцу́ют)	（我）跳舞，（他们）跳舞
та́нцы	（复）舞会
