ра́но	早
ско́ро	很快
ры́ба	鱼
ры́нок	市场，菜市
сыр	干酪
по́вар	厨师
са́хар	白糖
торт	大蛋糕
парк	公园
цирк	马戏，杂技
брат	兄弟
друт	朋友
гру́ша	梨
фру́кты	水果
го́род	城市
за́втра	明天
у́тром	早晨
рабо́та	工作
подру́га	女朋友
трамва́й	有轨电车
встаю́(встаёт,встаю́т)	我（他，他们）起床
за́втракаю(за́втракают)	我（他们）吃早饭
на	到…地方去
наш(на́ша,на́ше,на́ши)	我们的
ваш(ва́ша,ва́ше,ва́ши)	你们的
что	什么
шкаф	柜子
в шкафу́	在柜子里
шарф	长围巾
ша́пка	帽子
ко́шка	母猫
Шанха́й	上海
ба́бушка	祖母
маши́на	机器；小汽车
руба́шка	衬衣
карто́шка	（口语）土豆
игру́шка	玩具
хорошо́	好
каранда́ш	铅笔
уже́	已经
живу́(живу́т)	我（他们）住；生活
жена́	妻子
то́же	也
мо́жно	可以
муж	丈夫
нож	小刀
агроно́м	农艺师
покупа́ют	（他们）买
