шоссе́	公路
глаз	眼睛
клур	俱乐部
класс	班级
был\была́	他（她）曾经在
стол	桌子
стул	椅子
по́лка	书架
ку́кла	洋娃娃
мы́ло	肥皂
шко́ла	中小学
ла́мпа	灯
сло́во	字，词
ма́сло	黄油
у́гол	角落
в углу́	在角落里
Алло́!	喂!
сала́т	沙拉
журна́л	杂志
футбо́л	足球运动
вокза́л	车站
яблоко́	苹果
молоко́	牛奶
здра́вствуй!	你好！
мир	和平
мя́со	肉
и́мя	（中）名字
пи́во	啤酒
проспе́кт	大街
шофёр	司机
буфе́т	小吃部
конфе́та	水果糖
о́бувь	（阴）鞋子
метро́	（中，不变）地铁
её	她的
его́	他的
яйцо́	鸡蛋
но́мер	号
ко́фе	咖啡
рабо́таю(рабо́тает,рабо́таем,рабо́тают)	我（他，我们，他们）工作
игра́ю(игра́ет,игра́ем,игра́ют)	我（他，我们，他们）玩耍
игра́ю в футбо́л	（我）踢足球
у́жинаю(у́жинает,у́жинаем,у́жинают)	我（他，我们，他们）吃晚饭
кафе́	咖啡厅
ша́хматы	国际象棋
игра́ю в ша́хматы	下国际象棋
посу́да	餐具
по́здна	晚
