не	不，不是（否定后面的词）
нет	不，不对（否定回答）
инжене́р	工程师
они́	他们;它们
кни́га	书
вто́рник	星期二
пя́тница	星期五
ку́хня	厨房
пе́сня	歌曲
конь	（阳）公马
институ́т	学院
Санкт-Петербург	圣彼得堡
оте́щ	父亲
апте́ка	药店
текст	课文
теа́тр	剧院
вме́сте	一起
Здра́вствуйте!	您好！
тётя	婶
костю́м	一套西服	
мать	母亲
тетра́дь	练习本
такси́	出租车
Росси́я	俄罗斯
краси́вый	美丽的
сосе́д	邻居
все	全体，大家
бассе́йн	游泳池
сестра́	姐妹
сего́дня	今天
письмо́	信
Ки́ев	基辅
Пеки́н	北京
Нанки́н	南京
Кита́й	中国
кино́	电影院
Пу́шкин	普希金
стихи́	（复）诗
хи́мик	化学工作者
днём	白天
за́втрак	早饭
язы́к	语言
ру́сский	俄罗斯的
кита́йский	中国的
испа́нский	西班牙的
неме́цкий	德国的
кто такой	是什么人
ещё	还
плащ	雨衣
о́вощи	（复）蔬菜
общежи́тие	公共宿舍
вку́сный	好吃的
мо́дный	时尚的
хоро́ший	好的
но́вый	新的
ста́рый	旧的
пора́	到……时候了
опа́здывать(опа́здываю,опаздываешь,опа́здывают)	（我，你，他们）迟到

